Temp_Ambiente_C,Velocidad_Viento_ms,Temp_Conductor_C
23.6,9.0,44.1
36.9,9.2,56.5
31.8,5.9,59.4
28.8,10.6,44.5
18.6,4.7,50.8
18.6,4.8,49.1
16.3,11.5,30.0
34.9,7.2,58.3
28.8,4.9,60.2
31.3,4.6,62.8
15.5,4.8,45.6
37.3,9.3,54.3
34.1,5.2,64.9
20.0,7.6,44.4
19.2,4.9,51.9
19.2,9.8,36.6
22.0,5.2,51.6
27.1,7.3,51.5
24.9,6.7,50.0
21.7,7.5,45.1
29.1,8.0,49.8
18.2,6.3,44.7
21.7,8.7,42.5
23.4,7.6,47.5
25.5,9.6,44.8
33.1,6.8,56.4
19.6,10.7,34.9
26.9,8.5,49.3
28.6,11.5,39.8
15.9,8.6,37.0
31.6,2.0,71.5
24.7,2.8,61.4
16.5,2.6,54.4
16.636507936507936,2.6476190476190475,54.40952380952381
16.773015873015872,2.6952380952380954,54.41904761904762
16.909523809523808,2.742857142857143,54.42857142857143
17.046031746031748,2.7904761904761903,54.43809523809524
17.182539682539684,2.8380952380952382,54.44761904761905
17.31904761904762,2.8857142857142857,54.457142857142856
17.455555555555556,2.9333333333333336,54.46666666666667
17.59206349206349,2.980952380952381,54.476190476190474
17.728571428571428,3.0285714285714285,54.48571428571429
17.865079365079364,3.0761904761904764,54.49523809523809
18.001587301587303,3.123809523809524,54.50476190476191
18.13809523809524,3.1714285714285713,54.51428571428571
18.274603174603175,3.219047619047619,54.523809523809526
18.41111111111111,3.2666666666666666,54.53333333333333
18.547619047619047,3.314285714285714,54.542857142857144
18.684126984126983,3.361904761904762,54.55238095238095
18.82063492063492,3.4095238095238094,54.56190476190476
18.957142857142856,3.4571428571428573,54.57142857142857
19.093650793650795,3.5047619047619047,54.58095238095238
19.23015873015873,3.552380952380952,54.59047619047619
19.366666666666667,3.5999999999999996,54.6
19.503174603174603,3.6476190476190475,54.60952380952381
19.63968253968254,3.6952380952380954,54.61904761904762
19.776190476190475,3.742857142857143,54.628571428571426
19.91269841269841,3.7904761904761903,54.63809523809524
20.04920634920635,3.838095238095238,54.647619047619045
20.185714285714287,3.8857142857142852,54.65714285714286
20.322222222222223,3.933333333333333,54.666666666666664
20.45873015873016,3.980952380952381,54.67619047619048
20.595238095238095,4.0285714285714285,54.68571428571428
20.73174603174603,4.076190476190476,54.695238095238096
20.868253968253967,4.123809523809523,54.7047619047619
21.004761904761907,4.171428571428571,54.714285714285715
21.141269841269843,4.219047619047618,54.72380952380952
21.27777777777778,4.266666666666667,54.733333333333334
21.414285714285715,4.314285714285714,54.74285714285714
21.55079365079365,4.3619047619047615,54.75238095238095
21.687301587301587,4.409523809523809,54.76190476190476
21.823809523809523,4.457142857142857,54.77142857142857
21.960317460317462,4.504761904761905,54.78095238095238
22.0968253968254,4.552380952380952,54.79047619047619
22.233333333333334,4.6,54.8
22.36984126984127,4.647619047619047,54.80952380952381
22.506349206349206,4.6952380952380945,54.819047619047616
22.642857142857142,4.742857142857142,54.82857142857143
22.77936507936508,4.79047619047619,54.838095238095235
22.915873015873018,4.838095238095238,54.84761904761905
23.052380952380954,4.885714285714285,54.857142857142854
23.18888888888889,4.933333333333334,54.86666666666667
23.325396825396826,4.980952380952381,54.87619047619047
23.461904761904762,5.0285714285714285,54.885714285714286
23.598412698412698,5.076190476190476,54.89523809523809
23.734920634920634,5.123809523809523,54.904761904761905
23.871428571428574,5.171428571428571,54.91428571428571
24.00793650793651,5.219047619047618,54.923809523809524
24.144444444444446,5.266666666666666,54.93333333333333
24.28095238095238,5.314285714285713,54.94285714285714
24.417460317460318,5.3619047619047615,54.95238095238095
24.553968253968257,5.409523809523809,54.96190476190476
24.69047619047619,5.457142857142857,54.97142857142857
24.82698412698413,5.504761904761905,54.98095238095238
24.963492063492062,5.552380952380952,54.99047619047619
25.1,5.6,55.0
25.2,7.6,47.8
35.9,8.8,56.7
25.4,8.3,47.1
22.3,2.2,63.3
